month,day,hour,usage
2,19,15,0.395
2,19,16,0.48
2,19,17,0.423
2,19,18,0.536
2,19,19,0.957
2,19,20,0.886
2,19,21,0.613
2,19,22,0.738
2,19,23,0.519
2,20,0,0.264
2,20,1,0.219
2,20,2,0.211
2,20,3,0.222
2,20,4,0.225
2,20,5,0.235
2,20,6,0.278
2,20,7,0.611
2,20,8,0.337
2,20,9,0.224
2,20,10,0.207
2,20,11,0.202
2,20,12,0.252
2,20,13,2.287
2,20,14,0.397
2,20,15,0.384
2,20,16,0.38
2,20,17,0.402
2,20,18,0.48
2,20,19,1.22
2,20,20,1.405
2,20,21,1.069
2,20,22,0.724
2,20,23,0.42
2,21,0,0.398
2,21,1,0.233
2,21,2,2.9
2,21,3,3.542
2,21,4,3.54
2,21,5,1.358
2,21,6,0.477
2,21,7,0.382
2,21,8,0.27
2,21,9,0.241
2,21,10,0.24
2,21,11,0.257
2,21,12,0.234
2,21,13,0.349
2,21,14,0.273
2,21,15,0.249
2,21,16,0.265
2,21,17,0.235
2,21,18,0.347
2,21,19,0.5
2,21,20,1.409
2,21,21,1.272
2,21,22,0.818
2,21,23,0.532
2,22,0,0.503
2,22,1,0.381
2,22,2,0.367
2,22,3,2.574
2,22,4,3.734
2,22,5,1.863
2,22,6,0.364
2,22,7,0.363
2,22,8,0.376
2,22,9,1.439
2,22,10,2.324
2,22,11,3.833
2,22,12,2.512
2,22,13,0.595
2,22,14,0.401
2,22,15,0.299
2,22,16,0.233
2,22,17,0.323
2,22,18,0.359
2,22,19,0.485
2,22,20,0.543
2,22,21,0.56
2,22,22,0.585
2,22,23,0.494
2,23,0,0.358
2,23,1,0.354
2,23,2,0.362
2,23,3,0.336
2,23,4,0.38
2,23,5,0.328
2,23,6,0.307
2,23,7,0.288
2,23,8,0.484
2,23,9,0.604
2,23,10,0.636
2,23,11,1.034
2,23,12,1.026
2,23,13,0.36
2,23,14,0.264
2,23,15,0.235
2,23,16,0.25
2,23,17,0.255
2,23,18,0.405
2,23,19,0.542
2,23,20,0.708
2,23,21,0.716
2,23,22,1.437
2,23,23,2.391
2,24,0,0.225
2,24,1,0.969
2,24,2,3.568
2,24,3,3.557
2,24,4,3.558
2,24,5,1.514
2,24,6,0.23
2,24,7,0.406
2,24,8,0.464
2,24,9,0.199
2,24,10,0.221
2,24,11,0.206
2,24,12,0.186
2,24,13,0.211
2,24,14,0.221
2,24,15,0.21
2,24,16,0.201
2,24,17,0.295
2,24,18,0.323
2,24,19,0.822
2,24,20,1.188
2,24,21,1.171
2,24,22,1.064
2,24,23,0.259
2,25,0,0.235
2,25,1,0.213
2,25,2,0.218
2,25,3,0.796
2,25,4,3.545
2,25,5,1.616
2,25,6,0.228
2,25,7,0.533
2,25,8,0.472
2,25,9,0.226
2,25,10,0.201
2,25,11,0.225
2,25,12,0.534
2,25,13,0.228
2,25,14,0.218
2,25,15,0.215
2,25,16,0.26
2,25,17,0.219
2,25,18,0.225
2,25,19,0.223
2,25,20,0.287
